id,offload vehicle id,service vehicle id,allocation basestation id,delay,done status,vehicle density
20220408163631bs1,1.0,1.0,1.0,1.0,"{1: 2, 2: 2}",0.2694365978240967
20220408163635bs1,0.0,2.0,1.0,0.0,"{1: 2, 2: 2}",0.6196365356445312
20220408163643bs1,1.0,0.0,1.0,0.0,"{1: 2, 2: 2}",0.26767611503601074
20220408163645bs1,3.0,2.0,1.0,1.0,"{1: 1, 2: 3}",0.30070042610168457
20220408163647bs1,0.0,2.0,1.0,1.0,"{1: 1, 2: 3}",0.2847912311553955
20220408163653bs1,0.0,2.0,1.0,0.0,"{1: 1, 2: 3}",0.47347474098205566
20220408163655bs1,1.0,0.0,1.0,1.0,"{1: 1, 2: 3}",0.3412642478942871
20220408163656bs1,3.0,3.0,1.0,1.0,"{1: 1, 2: 3}",0.29276514053344727
20220408163659bs1,3.0,3.0,1.0,1.0,"{1: 1, 2: 3}",0.26381444931030273
20220408163703bs1,3.0,2.0,1.0,1.0,"{1: 1, 2: 3}",0.30206823348999023
20220408163709bs1,3.0,0.0,1.0,0.0,"{1: 1, 2: 3}",0.34976744651794434
20220408163711bs1,1.0,1.0,1.0,1.0,"{1: 1, 2: 3}",0.3017542362213135
20220408163716bs1,0.0,1.0,1.0,1.0,"{1: 1, 2: 3}",0.2846548557281494
20220408163727bs0,3.0,2.0,0.0,0.0,"{1: 4, 2: 0}",7.851908206939697
20220408163747bs0,1.0,0.0,0.0,0.0,"{1: 4, 2: 0}",2.7988851070404053
20220408163749bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.22164273262023926
20220408163756bs0,0.0,3.0,0.0,0.0,"{1: 4, 2: 0}",3.3123843669891357
20220408163811bs0,1.0,0.0,0.0,0.0,"{1: 4, 2: 0}",6.292317867279053
20220408163829bs0,3.0,2.0,0.0,0.0,"{1: 4, 2: 0}",5.622612714767456
20220408163833bs0,1.0,3.0,0.0,1.0,"{1: 4, 2: 0}",0.1386575698852539
20220408163834bs0,0.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.1555180549621582
20220408163846bs0,1.0,1.0,0.0,0.0,"{1: 4, 2: 0}",6.51988410949707
20220408163911bs0,3.0,1.0,0.0,0.0,"{1: 4, 2: 0}",7.244306325912476
20220408163924bs0,3.0,0.0,0.0,0.0,"{1: 4, 2: 0}",4.880002975463867
20220408163936bs0,3.0,1.0,0.0,0.0,"{1: 4, 2: 0}",3.0636839866638184
20220408163939bs0,3.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.18249154090881348
20220408163941bs0,1.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.26921963691711426
20220408163942bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.48361802101135254
20220408163946bs0,3.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.20254850387573242
20220408163948bs0,0.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.13318324089050293
20220408163949bs0,1.0,0.0,0.0,1.0,"{1: 4, 2: 0}",0.14432668685913086
20220408163953bs0,0.0,2.0,0.0,1.0,"{1: 4, 2: 0}",0.35271310806274414
20220408163956bs0,0.0,3.0,0.0,1.0,"{1: 4, 2: 0}",1.0756773948669434
